AAA,AAA proteins,https://en.wikipedia.org/?curid=41883177
AAA,abdominal aortic aneurysm,https://en.wikipedia.org/?curid=22258844
AAA,triple-A battery,https://en.wikipedia.org/?curid=19174720
AAA,abdominal aortic aneurysm,https://en.wikipedia.org/?curid=16981730
AAA,apply to affected area ,https://en.wikipedia.org/?curid=14470466
AAAA,AAAA battery,https://en.wikipedia.org/?curid=19174720
AAAP,amino acid auxin permease,https://en.wikipedia.org/?curid=49219918
AAAS,achalasia addisonianism alacrimia syndrome,https://en.wikipedia.org/?curid=30098993
AABB,axis aligned bounding box,https://en.wikipedia.org/?curid=50724448
AACN,american association of critical-care nurses,https://en.wikipedia.org/?curid=68137
AAD,Algorithms-Aided Design,https://en.wikipedia.org/?curid=7071096
AAD,American Association of Dermatology,https://en.wikipedia.org/?curid=68137
AAD,Algorithms Aided Design,https://en.wikipedia.org/?curid=27718879
AAD,Algorithms Aided Design,https://en.wikipedia.org/?curid=237141
AAD,antibiotic associated diarrhea,https://en.wikipedia.org/?curid=16981730
AADGP,American Academy of Dental Group Practice,https://en.wikipedia.org/?curid=68137
AAE,amino acid efflux,https://en.wikipedia.org/?curid=49159269
AAFP,American Academy of Family Physicians,https://en.wikipedia.org/?curid=68137
AAH,Amalgamated Anthracite Holdings,https://en.wikipedia.org/?curid=43720735
AAH,arnold arboretum herbarium,https://en.wikipedia.org/?curid=18027464
AAI,acute arterial insufficiency,https://en.wikipedia.org/?curid=16981730
AAIN,American Academy of Industrial Nurses,https://en.wikipedia.org/?curid=68137
AAL,anterior axillary line,https://en.wikipedia.org/?curid=16981730
AAMC,australian army medical corps,https://en.wikipedia.org/?curid=68137
AAN,american academy of nursing,https://en.wikipedia.org/?curid=68137
AANS,australian army nursing service,https://en.wikipedia.org/?curid=68137
AAO,american academy of ophthalmology,https://en.wikipedia.org/?curid=68137
AAOS,academy of orthopaedic surgeons,https://en.wikipedia.org/?curid=68137
AAP,american academy of pediatrics,https://en.wikipedia.org/?curid=68137
AAP,alanyl aminopeptidase,https://en.wikipedia.org/?curid=1120426
AAPMC,antibiotic associated pseudomembranous colitis,https://en.wikipedia.org/?curid=16981730
AAS,aarskog scott syndrome,https://en.wikipedia.org/?curid=22258844
AAT,amino acid transporter,https://en.wikipedia.org/?curid=49159269
AAT,activity as tolerated,https://en.wikipedia.org/?curid=16981730
AAU,denmark aarhus university,https://en.wikipedia.org/?curid=18032715
ABA,applied behavior analysis,https://en.wikipedia.org/?curid=2114377
ABBA,Swedish Band,https://en.wikipedia.org/?curid=8942467
ABC,airway breathing circulation,https://en.wikipedia.org/?curid=16981730
ABCC,advanced biomedical computing center,https://en.wikipedia.org/?curid=65132
ABCD,"albinism, black lock, cell migration disorder",https://en.wikipedia.org/?curid=22258844
ABCD,Jewett staging system,https://en.wikipedia.org/?curid=16981730
ABCD,Jewett staging system,https://en.wikipedia.org/?curid=1120426
ABCDEs,airway breathing circulation etc,https://en.wikipedia.org/?curid=16981730
ABCDs,airway breathing circulation etc ,https://en.wikipedia.org/?curid=16981730
ABCS,airway breathing circulation etc ,https://en.wikipedia.org/?curid=40780391
ABCs,airway breathing circulation etc,https://en.wikipedia.org/?curid=16981730
ABD,army battle dressing,https://en.wikipedia.org/?curid=16981730
ABE,acute bacterial endocarditis,https://en.wikipedia.org/?curid=16981730
ABEM,american board of emergency medicine,https://en.wikipedia.org/?curid=68137
ABET,Accreditation Board for Engineering and Technology,https://en.wikipedia.org/?curid=9251
ABET,accreditation board ,https://en.wikipedia.org/?curid=10035905
ABG,arterial blood gas,https://en.wikipedia.org/?curid=50973
ABG,arterial blood gas,https://en.wikipedia.org/?curid=16981730
ABI,acquired brain injury,https://en.wikipedia.org/?curid=16981730
ABMS,american board of medical specialties,https://en.wikipedia.org/?curid=68137
ABMT,autologous bone marrow transplantation,https://en.wikipedia.org/?curid=16981730
ABO,autologous bone marrow,https://en.wikipedia.org/?curid=16981730
ABPA,allergic broncho pulmonary aspergillosis,https://en.wikipedia.org/?curid=16981730
ABPI,ankle brachial pressure index,https://en.wikipedia.org/?curid=16981730
ABVD,Doxorubicin,https://en.wikipedia.org/?curid=16981730
ABX,antibiotics,https://en.wikipedia.org/?curid=16981730
ABXEGF,Panitumumab,https://en.wikipedia.org/?curid=1120426
ACA,Agricultural University of Athens,https://en.wikipedia.org/?curid=18032715
ACA,acinic cell carcinoma,https://en.wikipedia.org/?curid=16981730
ACADS,"Adenocarcinoma of lung, response",https://en.wikipedia.org/?curid=30098993
ACB,artocoronary bypass,https://en.wikipedia.org/?curid=16981730
ACC,Agenesis of the corpus callosum,https://en.wikipedia.org/?curid=22258844
ACCP,american college of chest physicians,https://en.wikipedia.org/?curid=68137
ACCU,acute coronary care unit,https://en.wikipedia.org/?curid=16981730
ACD,anemia of chronic disease,https://en.wikipedia.org/?curid=30623481
ACD,anemia of chronic disease,https://en.wikipedia.org/?curid=16981730
ACDF,anterior cervical discectomy and fusion,https://en.wikipedia.org/?curid=16981730
ACE,angiotensin-converting enzyme,https://www.medicinenet.com/ace_inhibitors/article.htm
ACE,angiotensin-converting enzyme,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/in-depth/ace-inhibitors/art-20047480
ACE,Advanced Computing Environment,https://www.fordham.edu/info/25009/faculty_technology_services/1426/academic_computing_environment_ace
ACE,Adobe Certified Expert,https://training.adobe.com/certification/ace-finder.html#p=1&country=united%20states
ACE,angiotensin-converting enzyme,https://labtestsonline.org/understanding/analytes/ace/tab/test/
ACE,angiotensin-converting enzyme,https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme
ACE,Advanced Computing Environment,https://en.wikipedia.org/wiki/Advanced_Computing_Environment
ACE,Adobe Certified Expert,https://en.wikipedia.org/wiki/Adobe_Certified_Expert
ACE,associate certified entomologist,https://en.wikipedia.org/?curid=59238
ACE,angiotensin-converting enzyme,https://en.wikipedia.org/?curid=50973
ACE,Association for Consultancy and Engineering,https://en.wikipedia.org/?curid=4790683
ACE,angiotensin-converting enzyme,https://en.wikipedia.org/?curid=30098993
ACE,angiotensin-converting enzyme,https://en.wikipedia.org/?curid=16981730
ACE,data compression archive file,https://en.wikipedia.org/?curid=12115370
ACE,angiotensin converting enzyme,https://en.wikipedia.org/?curid=1120426
ACE,Advanced Computing Environment,https://about.usps.com/doing-business/it-policies-standards/advance-computing-environment-policy.htm
ACE,Adobe Certified Expert,http://www.pearsonvue.com/adobe/
ACE,Advanced Computing Environment,http://www.nytimes.com/1992/05/10/business/the-executive-computer-whither-the-ace-consortium-maybe-nowhere.html
ACE,Adobe Certified Expert,http://www.adobe.com/training/certification.html
ACEI,angiotensin converting enzyme inhibitor ,https://en.wikipedia.org/?curid=16981730
ACELP,Algebraic code-excited linear prediction,https://en.wikipedia.org/?curid=32678
ACEP,american college of emergency physicians,https://en.wikipedia.org/?curid=68137
ACGME,Accreditation Council for Graduate Medical Education,https://en.wikipedia.org/?curid=68137
ACh,acetylcholine,https://en.wikipedia.org/?curid=44292016
ACh,acetylcholine,https://en.wikipedia.org/?curid=39392026
ACh,acetylcholine,https://en.wikipedia.org/?curid=16981730
ACID,"Atomicity, Consistency, Isolation, Durability",https://en.wikipedia.org/?curid=2722905
ACID,"Atomicity, Consistency, Isolation, Durability",https://en.wikipedia.org/?curid=1980870
ACL,anterior cruciate ligament,https://en.wikipedia.org/?curid=16981730
ACL,anterior cruciate ligament,https://en.wikipedia.org/?curid=1327869
ACLS,advanced cardiac life support,https://en.wikipedia.org/?curid=16981730
ACM,association of computing machinery,https://en.wikipedia.org/?curid=5213
ACM,association of computing machinery,https://en.wikipedia.org/?curid=52111558
ACM,association of computing machinery,https://en.wikipedia.org/?curid=35023931
ACM,advanced composite materials,https://en.wikipedia.org/?curid=27616733
ACMG,American College of Medical Genetics,https://en.wikipedia.org/?curid=36732637
ACMPH,college of military public health,https://en.wikipedia.org/?curid=68137
ACMs,Advanced composite materials,https://en.wikipedia.org/?curid=27616733
ACOG,American College of Obstetricians and Gynecologists,https://en.wikipedia.org/?curid=68137
ACP,advanced care paramedic,https://en.wikipedia.org/?curid=68137
ACP,advance care planning,https://en.wikipedia.org/?curid=16981730
ACP,average CPU power,https://en.wikipedia.org/?curid=13242122
ACPO,acute colonic pseudo-obstruction,https://en.wikipedia.org/?curid=16981730
ACR,American College of Radiology,https://en.wikipedia.org/?curid=68137
ACS,american cancer society,https://en.wikipedia.org/?curid=68137
ACS,acute coronary syndrome,https://en.wikipedia.org/?curid=22258844
